place_id,state,city,place_name,type,avg_budget,safety_score,hotel_cost_per_night,food_cost_per_day,transport_cost,railway_distance_km,bus_distance_km,airport_distance_km,family_friendly,place,good_place_1,good_place_2,bad_place_1,bad_place_2,hotel_name,women_safety,crowd_level,best_time,railway_distance,bus_distance,airport_distance,budget,lat,lng
1,Andhra Pradesh,Vijayawada,Vijayawada Waterfall 761,Adventure,9084,8.6,1172,1982,1220,9,4,42,No,Tourist Place,Local Food Street,Adventure Zone,Avoid isolated roads at night,Avoid abandoned market areas,OYO Premium,Moderate,Low,Night,9,3,23,19756,12.528001,77.956531
2,Andhra Pradesh,Tirupati,Tirupati Waterfall 432,Nature,16964,9.6,677,1451,696,19,5,39,Yes,Tourist Place,Historic Center,Temple Area,Avoid isolated roads at night,Avoid remote hills after sunset,Leela Palace,Low,High,Morning,6,4,27,22371,24.183528,73.02563
3,Andhra Pradesh,Visakhapatnam,Visakhapatnam Museum 680,Eco Tourism,9790,7.0,1636,882,1570,17,1,39,No,Tourist Place,Beach Market,Tourist Market,Avoid dark forest roads,Avoid abandoned market areas,Radisson Blu,Low,Low,Evening,6,6,26,8263,20.803311,87.784367
4,Andhra Pradesh,Araku Valley,Araku Valley Church 948,Beach,4830,8.2,2553,1846,1053,20,15,16,Yes,Tourist Place,Local Food Street,Tourist Market,Avoid unknown shortcuts,Avoid unsafe local alleys,Radisson Blu,Low,Medium,Evening,6,1,21,23994,18.198227,90.59781
5,Andhra Pradesh,Amaravati,Amaravati Beach 78,Adventure,22739,9.0,4235,389,287,11,2,32,No,Tourist Place,Beach Market,Adventure Zone,Avoid unknown shortcuts,Avoid abandoned market areas,Leela Palace,High,Low,Morning,13,2,30,21877,26.075751,72.075803
6,Telangana,Hyderabad,Hyderabad Monument 414,Desert,13015,8.8,3292,650,1361,14,8,28,Yes,Tourist Place,Shopping Street,Sunset Point,Avoid dark forest roads,Avoid crowded late-night bus stands,Leela Palace,Moderate,Medium,Night,8,10,25,14297,28.65342,93.259505
7,Telangana,Warangal,Warangal Caves 179,Desert,17684,8.8,2568,468,1970,7,8,47,No,Tourist Place,Shopping Street,Sunset Point,Avoid dark forest roads,Avoid remote hills after sunset,Radisson Blu,Moderate,Medium,Morning,4,3,39,22610,18.474181,76.60874
8,Telangana,Nizamabad,Nizamabad Palace 253,Wildlife,13056,8.5,4731,1407,1903,4,5,45,Yes,Tourist Place,Shopping Street,Temple Area,Avoid deserted beach areas,Avoid crowded late-night bus stands,Taj Hotel,Low,Low,Night,1,6,32,16956,31.452294,78.549595
9,Telangana,Adilabad,Adilabad Museum 692,Eco Tourism,3220,8.6,2796,809,2861,20,7,10,No,Tourist Place,City Mall,Temple Area,Avoid unknown shortcuts,Avoid abandoned market areas,Radisson Blu,High,Medium,Night,1,2,18,16340,15.934669,78.805148
10,Telangana,Karimnagar,Karimnagar Hill 802,Cultural,2637,8.5,3727,1719,2629,9,11,36,No,Tourist Place,Shopping Street,Temple Area,Avoid unknown shortcuts,Avoid remote hills after sunset,Leela Palace,Low,Medium,Evening,9,2,5,24789,20.805301,93.674805
11,Tamil Nadu,Chennai,Chennai Sanctuary 579,Wildlife,5162,9.1,4024,1084,1794,1,10,46,Yes,Tourist Place,Historic Center,Tourist Market,Avoid unknown shortcuts,Avoid abandoned market areas,Radisson Blu,Moderate,High,Evening,11,10,35,21838,17.50681,80.378279
12,Tamil Nadu,Madurai,Madurai Beach 462,Adventure,7136,8.8,545,851,983,18,7,35,No,Tourist Place,Beach Market,Lake View,Avoid dark forest roads,Avoid remote hills after sunset,Taj Hotel,Moderate,High,Morning,5,2,5,22424,11.872049,78.167692
13,Tamil Nadu,Ooty,Ooty Dam 833,Desert,10363,9.5,1266,1957,465,4,13,42,Yes,Tourist Place,City Mall,Temple Area,Avoid unknown shortcuts,Avoid abandoned market areas,Radisson Blu,Moderate,High,Night,8,9,10,7797,26.177919,90.359153
14,Tamil Nadu,Kanyakumari,Kanyakumari Garden 85,Eco Tourism,16270,9.4,1816,1280,1379,16,13,32,Yes,Tourist Place,Historic Center,Adventure Zone,Avoid isolated roads at night,Avoid remote hills after sunset,Taj Hotel,Low,High,Morning,11,8,35,15251,14.708586,93.668389
15,Tamil Nadu,Coimbatore,Coimbatore Lake 688,Wildlife,16092,7.1,4725,1144,736,4,9,41,No,Tourist Place,Beach Market,Lake View,Avoid unknown shortcuts,Avoid unsafe local alleys,Taj Hotel,Low,Low,Evening,4,9,8,18535,16.981325,71.327846
16,Karnataka,Bengaluru,Bengaluru Hill 328,Cultural,24817,8.9,4122,1728,700,9,7,16,Yes,Tourist Place,City Mall,Adventure Zone,Avoid unknown shortcuts,Avoid crowded late-night bus stands,Leela Palace,Moderate,Medium,Night,6,9,29,17991,26.333218,86.307165
